Seg/Dir,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10NB,711.0,570.0,626.0,982.0,1766.0,4539.0,6190.0,5674.0,4517.0,4253.0,3928.0,3914.0,4284.0,4411.0,4374.0,4953.0,4935.0,4759.0,3841.0,2972.0,2825.0,2560.0,1488.0,1121.0
10SB,884.0,714.0,704.0,715.0,918.0,1821.0,3673.0,4696.0,4042.0,3828.0,4093.0,4192.0,4190.0,4521.0,5445.0,6598.0,6730.0,7241.0,5446.0,3863.0,3042.0,2227.0,1878.0,1297.0
1NB,1169.0,921.0,779.0,1081.0,1972.0,5104.0,6420.0,5139.0,4149.0,4413.0,4308.0,4422.0,4278.0,4126.0,4452.0,4183.0,3794.0,4374.0,4632.0,4267.0,3647.0,3540.0,2667.0,1923.0
1SB,1626.0,1334.0,1124.0,1196.0,1762.0,2942.0,3883.0,4333.0,3692.0,3766.0,4472.0,4806.0,4865.0,4997.0,4999.0,4209.0,3915.0,4031.0,4893.0,5072.0,4508.0,4235.0,3807.0,2778.0
2NB,957.0,669.0,512.0,732.0,1529.0,4143.0,6177.0,5490.0,4738.0,4917.0,4929.0,5078.0,5233.0,5296.0,5595.0,5095.0,4750.0,5219.0,4822.0,4466.0,3723.0,3498.0,2486.0,1795.0
2SB,1010.0,696.0,575.0,963.0,1588.0,2741.0,3862.0,4299.0,4192.0,4542.0,5222.0,5724.0,5984.0,6292.0,6503.0,6634.0,6755.0,6587.0,6123.0,4893.0,3945.0,3614.0,2760.0,1893.0
3NB,723.5,568.0,552.0,786.0,1382.0,3315.0,3432.0,3176.5,2891.0,3213.5,3489.5,3509.5,3558.5,3631.5,3789.0,3666.0,3126.5,3528.0,3415.5,2894.5,2462.0,2268.0,1935.5,1169.5
3SB,1359.0,1066.0,895.0,836.0,1410.0,3426.0,4808.0,4843.0,4645.0,4885.0,5174.0,5483.0,5375.0,5313.0,5430.0,4242.0,3743.0,3891.0,4439.0,4639.0,4159.0,3728.0,3083.0,2304.0
4NB,857.0,682.0,641.0,988.0,1942.0,5538.0,6865.0,5677.0,5583.0,5554.0,5546.0,5070.0,5169.0,5295.0,5536.0,5533.0,5358.0,5374.0,4398.0,3253.0,2742.0,2530.0,1982.0,1332.0
4SB,1361.0,1058.0,924.0,849.0,1240.0,2582.0,3790.0,4426.0,4072.0,3987.0,4324.0,4779.0,5222.0,5345.0,5504.0,3981.0,3651.0,3670.0,4258.0,4905.0,4152.0,3727.0,3122.0,2335.0
5NB,893.0,715.0,687.0,1043.0,2156.0,6022.0,6955.0,6136.0,5885.0,5859.0,5857.0,5363.0,5545.0,5693.0,5950.0,6023.0,5767.0,5872.0,4772.0,3512.0,3017.0,2659.0,2015.0,1366.0
5SB,1393.0,1086.0,966.0,820.0,1181.0,2648.0,4049.0,4910.0,4694.0,4433.0,4695.0,4978.0,5452.0,5816.0,6236.0,5665.0,4880.0,5500.0,5489.0,5272.0,4315.0,3895.0,3188.0,2339.0
6NB,880.0,717.5,716.5,1167.0,2179.0,6076.5,6764.0,5669.5,5835.0,5747.5,5703.0,5204.0,5394.0,5528.0,5669.0,5735.0,5588.5,5776.0,4787.5,3450.5,2922.0,2656.5,1968.5,1335.0
6SB,1349.0,1044.0,871.5,840.0,1236.5,2664.5,4098.5,4699.0,4358.5,4124.0,4592.5,4797.5,5424.0,5877.0,6500.0,6364.5,6008.0,6219.5,6197.5,5484.5,4451.5,3841.5,3133.0,2300.5
7NB,816.0,730.5,718.5,1177.0,2041.5,5623.0,5412.5,4363.5,4827.0,5316.5,5132.0,4746.5,4932.5,5011.0,5213.0,5562.5,5581.5,5670.5,4672.0,3330.0,2872.0,2670.5,1871.5,1234.5
7SB,1174.5,943.0,767.0,816.0,1238.0,2870.5,4580.0,4658.0,4152.5,3982.5,4276.0,4555.5,5160.5,5634.0,6343.0,6383.0,6395.0,6432.5,5978.5,5213.0,4012.5,3346.5,2665.5,1989.5
8NB,885.0,667.0,693.5,1147.5,2002.5,5530.5,5258.0,3928.5,4188.5,4730.5,4583.5,4217.0,4439.5,4575.5,4533.0,5013.5,5291.0,5327.0,4267.0,3107.0,2787.0,2558.0,1779.0,1207.0
8SB,1008.5,709.0,697.5,925.5,1587.0,4016.0,4798.0,4046.5,4106.5,4227.0,4201.5,4162.0,4382.5,4783.0,5181.5,5462.5,5685.0,5680.0,4971.0,3947.5,3209.5,2685.0,1953.5,1455.5
9NB,672.5,554.0,630.5,1011.0,1824.5,4946.0,5201.5,4477.0,4175.0,4147.5,3945.5,3692.0,3976.5,3999.0,4017.0,4466.0,4559.0,4712.5,3842.0,2854.5,2646.5,2475.0,1562.0,1065.5
9SB,804.5,673.0,628.0,672.5,913.0,1952.0,3548.0,3933.0,3522.0,3396.5,3606.5,3699.0,3914.5,4293.5,5080.0,5730.5,6082.0,5747.5,4629.5,3697.5,2863.0,2153.5,1854.0,1362.5
