Period,10NB,10SB,11NB,11SB,12NB,12SB,13NB,13SB,14NB,14SB,15NB,15SB,16NB,16SB,17NB,17SB,18NB,18SB,1NB,1SB,2NB,2SB,3NB,3SB,4NB,4SB,5NB,5SB,6NB,6SB,7NB,7SB,8NB,8SB,9NB,9SB
AM-Early,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AM-Peak-1,1.0,1.0,1.098046822656109,1.15,1.0,1.15,1.1056392054308095,1.0,1.15,1.0,1.0,1.0,1.0000610669870065,1.0003984558439252,1.0007289163085196,1.0,1.0,1.0,1.0000061007157555,1.0,1.0007989297420048,1.0,1.15,1.0769431298705847,1.0000964762391484,1.0,1.0,1.0,1.000265990486365,1.0,1.15,1.0000017168120896,1.15,1.000659311181297,1.0,1.0
AM-Peak-2,1.0,1.000153407222242,1.15,1.15,1.0,1.15,1.1106691676308316,1.0,1.1278611448181228,1.0,1.0002268730819182,1.0,1.0,1.0,1.0004937006214552,1.0,1.0,1.15,1.15,1.0,1.15,1.0,1.15,1.15,1.0,1.0,1.0001763068239025,1.0,1.0,1.000022242107464,1.15,1.0,1.15,1.0,1.0,1.000066426629004
AM-Peak-3,1.0,1.0,1.0289957427744323,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,1.1212520697748263,1.0,1.15,1.0,1.15,1.103052291590397,1.000139298653023,1.0,1.0,1.0003556370736928,1.0000975830787708,1.0,1.0000749997735119,1.0,1.0106283311374975,1.0004249526139273,1.0,1.000066426629004
AM-Shoulder,1.0,1.0002674292907063,1.0,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0000445292079183,1.0,1.0,1.0,1.0000282182908393,1.0,1.0,1.0848946564696023,1.0892920824126324,1.0,1.148363631236828,1.0,1.15,1.013225384281717,1.0,1.000461066248506,1.0,1.0003268736499187,1.0001399237654334,1.0001909386035426,1.0,1.0,1.0,1.0,1.0,1.0
MD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Night,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PM-Late,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PM-Peak-1,1.0003188559713094,1.000233692122424,1.15,1.15,1.15,1.0,1.1062256887362054,1.0141859573395295,1.0,1.0,1.0003544938797908,1.0,1.000178684654153,1.000417778285487,1.0,1.000223077104937,1.15,1.15,1.15,1.15,1.0004514440577226,1.0,1.15,1.15,1.000157931268822,1.15,1.0002719123594996,1.0472126170173366,1.0,1.0003198701530263,1.0004233057762557,1.0,1.0,1.000021855352117,1.0006072436914042,1.0001561007956838
PM-Peak-2,1.0001470251385391,1.0,1.0722417719237558,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0003544938797908,1.0,1.000178684654153,1.0,1.000632174938016,1.000223077104937,1.15,1.0732486633279534,1.15,1.15,1.1105438680668418,1.0,1.15,1.15,1.000611736135133,1.15,1.0001909078020406,1.055397736818468,1.0,1.0001154919329982,1.0000913464185393,1.0,1.0000268544098216,1.0,1.0,1.0
PM-Peak-3,1.0143090397156693,1.0002219607075915,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0184217642704405,1.0,1.000283206704186,1.15,1.15,1.15,1.0146994614911664,1.15,1.0000169115867517,1.0000563515656533,1.0,1.15,1.1239395426398489,1.0002727324565175,1.15,1.000213802075865,1.0461180774883925,1.0437822118280977,1.0000692328955185,1.0729696565218014,1.00026080608267,1.1204307126446467,1.029979430946088,1.15,1.0000251538117977
PM-Shoulder,1.0000546951340663,1.0,1.15,1.15,1.0399722770975617,1.0,1.0,1.0,1.0,1.0,1.0001116407482806,1.000030995154058,1.0,1.000030995154058,1.0001746656403896,1.0009408546988408,1.0,1.15,1.15,1.15,1.0000255587406677,1.0,1.15,1.15,1.0,1.15,1.0,1.076798902283785,1.0,1.0004873463703423,1.0001812193094732,1.0002607361138078,1.0003083334423786,1.0000549981959992,1.0002431216958834,1.0001077652676345
