Year,Direction,Segment,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,,,,,,,,,
2050,NB,1,278.2935228,553.3726728,1121.033163,1025.98196,1016.95776,1261.167795,1123.51241,833.2536338,,185.5290152,368.9151152,747.3554422,683.9879732,677.9718401,840.77853,749.0082731,555.5024225
2050,NB,10,186.4099026,755.0626535,998.0369679,529.0330317,489.9810903,550.4586687,985.234028,386.6259689,,124.2732684,503.3751023,665.3579786,352.6886878,326.6540602,366.9724458,656.8226854,257.750646
2050,NB,2,224.0999332,1039.140467,2192.490589,1752.826182,1839.74679,2033.858798,1737.928713,516.1807044,,149.3999554,692.7603116,1461.660393,1168.550788,1226.49786,1355.905865,1158.619142,344.1204696
2050,NB,3,214.5131431,588.8819158,753.7394069,594.5347575,913.534831,929.0216758,760.4939464,407.1534471,,143.008762,392.5879439,502.4929379,396.356505,609.0232206,619.3477839,506.9959643,271.4356314
2050,NB,4,222.2793966,1146.083496,1643.29889,1448.105418,1376.515647,1848.870012,1953.189844,404.7325601,,148.1862644,764.0556643,1095.532593,965.4036123,917.6770983,1232.580008,1302.126563,269.8217067
2050,NB,5,208.770753,555.4210066,1077.08807,1220.00237,989.6671271,1958.566059,2070.372721,410.4368303,,139.180502,370.280671,718.0587135,813.334913,659.7780848,1305.710706,1380.248481,273.6245535
2050,NB,6,209.7326374,1355.199694,1629.616803,1482.535578,1457.199208,2078.371702,2023.463605,394.523874,,139.8217583,903.4664626,1086.411202,988.3570523,971.4661383,1385.581135,1348.975736,263.015916
2050,NB,7,208.4322488,1096.128748,1193.529243,1069.52401,1119.207767,1466.374512,2062.058781,395.545108,,138.9548325,730.752499,795.6861617,713.0160069,746.1385115,977.583008,1374.705854,263.6967386
2050,NB,8,203.2892622,1078.25477,1138.292596,894.8217986,957.6940715,1165.736286,1868.008876,389.6343466,,135.5261748,718.836513,758.8617306,596.5478658,638.4627143,777.1575243,1245.33925,259.7562311
2050,NB,9,174.1044648,860.4473893,1019.781214,776.1744131,698.1112809,900.3358396,1409.130543,379.9347403,,116.0696432,573.6315929,679.8541425,517.4496088,465.4075206,600.2238931,939.4203618,253.2898269
2050,SB,1,306.3005419,524.5421308,1080.078629,1091.278141,1747.219367,1435.970885,1051.515244,572.2393529,,204.2003612,349.6947539,720.0524195,727.5187608,1164.812911,957.3139233,701.0101629,381.4929019
2050,SB,10,172.9870962,308.6333489,848.9092108,488.4509704,501.0161815,989.7462718,1183.918021,556.1263734,,115.3247308,205.755566,565.9394738,325.6339803,334.0107876,659.8308479,789.2786806,370.7509156
2050,SB,2,236.355177,392.6865331,485.6378918,535.0319435,1192.253259,2585.941517,2554.906751,556.2410921,,157.570118,261.7910221,323.7585945,356.6879623,794.8355062,1723.961011,1703.271167,370.8273947
2050,SB,3,278.5443293,800.5380365,1719.167798,1841.468604,1976.313988,1682.386853,1023.121598,1039.167358,,185.6962195,533.6920243,1146.111865,1227.645736,1317.542659,1121.591235,682.0810656,692.7782385
2050,SB,4,245.0491618,356.9014878,1061.192963,1135.157818,818.8516448,1568.082151,877.1541514,494.0723807,,163.3661079,237.9343252,707.4619751,756.7718788,545.9010966,1045.388101,584.7694343,329.3815871
2050,SB,5,220.9095728,350.5471095,1065.05268,1144.14004,1121.840344,1410.979817,1167.247273,634.3479457,,147.2730485,233.698073,710.0351199,762.7600265,747.8935626,940.6532115,778.1648485,422.8986305
2050,SB,6,216.9049697,349.9386242,1116.753883,1417.771225,1588.955309,1208.520938,1678.697218,777.2844027,,144.6033131,233.2924161,744.5025884,945.1808165,1059.30354,805.6806252,1119.131478,518.1896018
2050,SB,7,207.7075287,382.1165632,1409.834667,1355.778645,1357.699155,1435.42458,1497.924651,975.6190527,,138.4716858,254.7443755,939.889778,903.8524303,905.1327702,956.9497201,998.6164342,650.4127018
2050,SB,8,195.4777233,851.1490757,1473.93655,1116.424873,900.8405791,1243.664525,1285.109612,510.6934295,,130.3184822,567.4327171,982.6243665,744.2832485,600.560386,829.1096832,856.7397411,340.4622864
2050,SB,9,151.049989,310.2607909,764.7480221,728.340972,676.4204446,1465.737222,1360.903712,391.7759423,,100.6999926,206.8405273,509.8320147,485.560648,450.946963,977.1581479,907.2691411,261.1839615
